epoch,loss,step,val_loss
0,0.0013568657450377941,49,
0,0.0003112112171947956,99,
0,0.0001891820866148919,149,
0,0.0001873487199191004,199,
0,8.692192932358012e-05,249,
0,0.0001842573401518166,299,
0,8.039964450290427e-05,349,
0,0.00012064914335496724,399,
0,0.0001090778605430387,449,
0,0.0001463834778405726,499,
0,0.0003260337689425796,549,
0,0.000519497087225318,599,
0,0.00013115335605107248,649,
0,0.0001260887656826526,699,
0,0.00012088707444490865,749,
0,5.222386243985966e-05,799,
0,0.00016453150601591915,849,
0,,864,0.00013505692186299711
1,9.901079465635121e-05,899,
1,3.393367660464719e-05,949,
1,0.00050609145546332,999,
1,0.00019462330965325236,1049,
1,0.00010807241051224992,1099,
1,9.614733426133171e-05,1149,
1,0.00015617428289260715,1199,
1,0.00012748131121043116,1249,
1,2.7911277356906794e-05,1299,
1,4.843995702685788e-05,1349,
1,0.00012411018542479724,1399,
1,4.4552303734235466e-05,1449,
1,0.0004613100318238139,1499,
1,0.00023331012926064432,1549,
1,0.00012515232083387673,1599,
1,6.834758096374571e-06,1649,
1,0.0001436099410057068,1699,
1,,1729,0.0001219973637489602
2,0.00012485690240282565,1749,
2,0.00017161914729513228,1799,
2,0.00010763037425931543,1849,
2,4.0851602534530684e-05,1899,
2,0.00015867623733356595,1949,
2,6.966822547838092e-05,1999,
2,4.97896435263101e-05,2049,
2,0.00022815278498455882,2099,
2,0.0002424512495053932,2149,
2,0.00015461890143342316,2199,
2,0.0002445534337311983,2249,
2,0.00036277039907872677,2299,
2,6.273041071835905e-05,2349,
2,9.748217416927218e-05,2399,
2,7.464532973244786e-05,2449,
2,5.032589251641184e-05,2499,
2,0.00015623506624251604,2549,
2,,2594,0.0001299296272918582
