epoch,loss,loss_boundary,loss_vel_reg,loss_dur_reg,loss_vel_cls,loss_dur_cls,loss_pitch,f1,best_th,time
1,0.8437948822975159,0.7031623689751876,0.0,0.0,0.0,0.0,0.0,0.0,0.45,29.990113019943237
2,0.828823164889687,0.6906859404162357,0.0,0.0,0.0,0.0,0.0,0.5208924949290061,0.46,29.777657747268677
3,0.8138021858114945,0.6781684599424663,0.0,0.0,0.0,0.0,0.0,0.5230769230769231,0.55,29.715424060821533
4,0.8393399401714927,0.6994499219091315,0.0,0.0,0.0,0.0,0.0,0.5228184074852015,0.45,32.2364559173584
5,0.7776972400514703,0.6480810046195984,0.0,0.0,0.0,0.0,0.0,0.5249266862170088,0.54,28.67848014831543
6,0.7640144511273033,0.6366786831303647,0.0,0.0,0.0,0.0,0.0,0.5302281816043284,0.46,32.356353759765625
7,0.7632456453222978,0.6360380053520203,0.0,0.0,0.0,0.0,0.0,0.5295530994714079,0.48,32.50183320045471
8,0.7638249460019564,0.6365207621925756,0.0,0.0,0.0,0.0,0.0,0.5290505432215399,0.51,33.012418031692505
9,0.7641178965568542,0.6367648871321427,0.0,0.0,0.0,0.0,0.0,0.5319037656903766,0.51,40.29410696029663
10,0.7589400285168698,0.6324500002359089,0.0,0.0,0.0,0.0,0.0,0.5301624129930395,0.67,37.22335505485535
