note_on,time,velocity
60,0.031818181818181815,90
60,91.81818181818181,90
60,91.87272727272727,90
60,91.93636363636364,90
60,92.02045454545454,90
60,92.08636363636363,90
60,92.3090909090909,90
60,92.37272727272727,90
60,92.50227272727273,90
60,92.54318181818181,90
60,92.57499999999999,90
60,92.73636363636363,90
60,92.77954545454546,90
60,92.88636363636363,90
60,92.93863636363636,90
60,93.01363636363637,90
60,93.04545454545455,90
60,93.12045454545454,90
60,93.35454545454544,90
60,93.4090909090909,90
60,93.47272727272727,90
60,93.52499999999999,90
60,93.56818181818181,90
60,93.65227272727272,90
60,93.72727272727272,90
60,93.84545454545454,90
60,94.02727272727272,90
60,94.07045454545454,90
60,94.175,90
60,94.24090909090908,90
60,94.31363636363636,90
60,94.45227272727273,90
60,94.52727272727272,90
60,94.57045454545454,90
60,94.65681818181818,90
60,94.81590909090909,90
60,94.87045454545454,90
60,95.0090909090909,90
60,95.10454545454544,90
60,95.14772727272727,90
60,95.18863636363636,90
60,95.23181818181818,90
60,95.26363636363637,90
60,95.46590909090908,90
60,95.52045454545454,90
60,95.72272727272727,90
60,95.91363636363636,90
60,95.94772727272726,90
60,96.07499999999999,90
60,96.17045454545455,90
60,96.20227272727273,90
60,96.25681818181818,90
60,96.39545454545454,90
60,96.51136363636363,90
60,96.54318181818181,90
60,96.59772727272727,90
60,96.62954545454545,90
60,96.68181818181817,90
60,96.71363636363635,90
60,96.89545454545454,90
60,96.94999999999999,90
60,97.07727272727273,90
60,97.15227272727272,90
60,97.1840909090909,90
60,97.27045454545454,90
60,97.30227272727272,90
60,97.36590909090908,90
60,97.46136363636363,90
60,97.50454545454545,90
60,97.55681818181817,90
60,97.62045454545454,90
60,97.68636363636364,90
60,97.71818181818182,90
60,97.80227272727272,90
60,97.85681818181818,90
60,97.94090909090909,90
60,98.11136363636363,90
60,98.18636363636364,90
60,98.27272727272727,90
60,98.31363636363636,90
60,98.35681818181818,90
60,98.44318181818181,90
60,98.55,90
60,98.58181818181818,90
60,98.61363636363636,90
60,98.67727272727272,90
60,98.83636363636363,90
60,98.87045454545454,90
60,98.975,90
60,99.04090909090908,90
60,99.17954545454545,90
60,99.23181818181817,90
60,99.41363636363636,90
60,99.47727272727272,90
60,99.5090909090909,90
60,99.60454545454544,90
60,99.70227272727273,90
60,99.73409090909091,90
60,99.8090909090909,90
60,99.87272727272727,90
60,100.01136363636363,90
60,100.06363636363636,90
60,100.225,90
60,100.3090909090909,90
60,100.36363636363636,90
60,100.42727272727272,90
60,100.51136363636363,90
60,100.67272727272727,90
60,100.70454545454545,90
60,100.73636363636363,90
60,100.81136363636364,90
60,100.84318181818182,90
60,100.875,90
60,100.99090909090908,90
60,101.02499999999999,90
60,101.10909090909091,90
60,101.16363636363636,90
60,101.19545454545454,90
60,101.29090909090908,90
60,101.3340909090909,90
60,101.39772727272727,90
60,101.44090909090909,90
60,101.49318181818181,90
60,101.55681818181817,90
60,101.63181818181818,90
60,101.66363636363636,90
60,101.73863636363636,90
60,101.78181818181818,90
60,101.96363636363635,90
60,101.99545454545454,90
60,102.0590909090909,90
60,102.10227272727272,90
60,102.14318181818182,90
60,102.2090909090909,90
60,102.38863636363637,90
60,102.58181818181818,90
60,102.625,90
60,102.74090909090908,90
60,102.77272727272727,90
60,102.89090909090909,90
60,102.99772727272727,90
60,103.18863636363636,90
60,103.22045454545454,90
60,103.27499999999999,90
60,103.40227272727272,90
60,103.52045454545454,90
60,103.57272727272726,90
60,103.61590909090908,90
60,103.67954545454545,90
60,103.74318181818181,90
60,103.78636363636363,90
60,103.925,90
60,104.0,90
60,104.1590909090909,90
60,104.26590909090909,90
60,104.29772727272727,90
60,104.34090909090908,90
60,104.43636363636364,90
60,104.58636363636363,90
60,104.64090909090909,90
60,104.74772727272726,90
60,104.78863636363636,90
60,104.85227272727272,90
