epoch,loss,loss_boundary,loss_vel_reg,loss_dur_reg,loss_vel_cls,loss_dur_cls,loss_pitch,f1,best_th,time
1,1.3827806648455168,0.8642378982744718,0.0,0.0,0.0,0.0,0.0,0.5702457956015524,0.3,24.90942621231079
2,1.36826239134136,0.8551639789029172,0.0,0.0,0.0,0.0,0.0,0.570898292501856,0.52,23.182204008102417
3,1.3565997136266608,0.8478748076840451,0.0,0.0,0.0,0.0,0.0,0.5744178197772528,0.49,23.927857875823975
4,1.3224018184762252,0.8265011216464796,0.0,0.0,0.0,0.0,0.0,0.5718036229981622,0.38,24.098628997802734
5,1.284575299212807,0.802859554165288,0.0,0.0,0.0,0.0,0.0,0.5744934445768772,0.53,23.75115418434143
6,1.2781126122725637,0.7988203763961792,0.0,0.0,0.0,0.0,0.0,0.5733752620545073,0.37,23.67046594619751
7,1.274241422352038,0.7964008732845909,0.0,0.0,0.0,0.0,0.0,0.5726249672860507,0.37,24.000669956207275
8,1.2705610112140053,0.7941006076963324,0.0,0.0,0.0,0.0,0.0,0.5732984293193717,0.36,24.874394178390503
9,1.268461917576037,0.7927886843681335,0.0,0.0,0.0,0.0,0.0,0.573074908328968,0.39,25.261290073394775
10,1.2638979083613346,0.7899361817460311,0.0,0.0,0.0,0.0,0.0,0.5718816067653277,0.33,23.62836003303528
11,1.262744803177683,0.7892154894377056,0.0,0.0,0.0,0.0,0.0,0.573148390473698,0.38,23.55142378807068
