epoch,loss,loss_boundary,loss_vel_reg,loss_dur_reg,loss_vel_cls,loss_dur_cls,loss_pitch,f1,best_th,time
1,1.215834429389552,0.8332288861274719,0.07922263641988761,0.020692527882362668,1.4967872876870005,2.72249184156719,0.0,0.5702457956015524,0.3,26.963988065719604
2,1.1455464425839876,0.8254285674346121,0.009586228872649372,0.016693224787319962,0.5519326784108814,2.5224301187615645,0.0,0.5703933747412008,0.45,26.459418058395386
3,1.1025552122216475,0.8139390788580242,0.006498316664395756,0.01546101551502943,0.15399675894724696,2.3406095630244206,0.0,0.5713541666666667,0.4,27.4522807598114
4,1.0720549570886713,0.7956844254543907,0.0034390084420968044,0.015696781393336624,0.07244292979961947,2.25309325519361,0.0,0.5709052851909995,0.42,25.967969179153442
5,1.0546685457229614,0.7827338607687699,0.00432872266116503,0.01625057956890056,0.05590979833351938,2.231268619236193,0.0,0.578096947935368,0.51,27.2465238571167
6,1.037267622194792,0.7691281751582497,0.00452716665734586,0.016922287103769026,0.047016452801854985,2.2178096018339457,0.0,0.5776976254884281,0.51,26.078438997268677
7,1.0268847503160174,0.76092529296875,0.004893392594041009,0.016839467773312015,0.042015458016019115,2.2117390632629395,0.0,0.5773381294964028,0.52,28.01742911338806
8,1.021602699631139,0.7566429972648621,0.005093314023198266,0.017024365596865352,0.03886560938860241,2.2116376851734363,0.0,0.57896450667535,0.53,28.97278594970703
9,1.0192161108318127,0.754982264418351,0.004867693507357647,0.01757869810650223,0.036886058943836314,2.2054146716469214,0.0,0.5803483404534998,0.54,28.809419870376587
10,1.0188263215516742,0.7546390640108209,0.004800382756481045,0.01713476173187557,0.036025660798737875,2.2072274559422542,0.0,0.5801177240026161,0.52,27.678231954574585
11,1.013760949435987,0.7506015018412941,0.004460947857679505,0.016885236395817054,0.03429113838233446,2.2051449700405725,0.0,0.5799256505576208,0.53,27.426950931549072
12,1.0163492058452808,0.7525987248671683,0.004455569935472388,0.016999669078933567,0.03371407228865122,2.2094440334721615,0.0,0.5793015059275873,0.49,28.633748054504395
