pitch,velocity,duration,pos,boundary,bar,instrument,velocity_bucket,duration_bucket
55,100,0.17727272727272728,119,1,87,_Guitar,-1,-1
55,100,0.17727272727272728,184,0,87,_Guitar,-1,-1
58,100,0.18181818181818182,399,1,87,_Guitar,-1,-1
58,100,0.5,66,1,88,_Guitar,-1,-1
62,100,0.21818181818181817,176,0,88,_Guitar,-1,-1
58,100,0.2772727272727273,237,0,88,_Guitar,-1,-1
58,100,0.1590909090909091,409,0,88,_Guitar,-1,-1
55,100,0.12272727272727273,475,0,88,_Guitar,-1,-1
58,100,0.2,650,0,88,_Guitar,-1,-1
58,100,0.13636363636363635,106,1,89,_Guitar,-1,-1
48,100,0.8590909090909091,409,1,0,DL_Guitar,-1,-1
48,100,0.4,686,1,0,DL_Guitar,-1,-1
48,100,1.8227272727272728,827,0,0,DL_Guitar,-1,-1
60,100,0.33636363636363636,348,1,1,DL_Guitar,-1,-1
55,100,0.1409090909090909,431,0,1,DL_Guitar,-1,-1
60,100,0.1,487,0,1,DL_Guitar,-1,-1
52,100,0.2,590,0,1,DL_Guitar,-1,-1
43,100,0.9,651,0,1,DL_Guitar,-1,-1
55,100,0.38181818181818183,849,1,1,DL_Guitar,-1,-1
50,100,0.2818181818181818,113,1,2,DL_Guitar,-1,-1
50,100,0.37727272727272726,691,1,2,DL_Guitar,-1,-1
50,100,0.2818181818181818,813,0,2,DL_Guitar,-1,-1
41,100,0.6227272727272727,26,1,3,DL_Guitar,-1,-1
41,100,1.0818181818181818,443,1,3,DL_Guitar,-1,-1
53,100,0.11818181818181818,712,1,3,DL_Guitar,-1,-1
41,100,0.21818181818181817,788,0,3,DL_Guitar,-1,-1
53,100,0.1409090909090909,74,1,4,DL_Guitar,-1,-1
55,100,0.3,114,0,4,DL_Guitar,-1,-1
48,100,0.759090909090909,260,0,4,DL_Guitar,-1,-1
48,100,0.1590909090909091,440,0,4,DL_Guitar,-1,-1
48,100,0.2,550,0,4,DL_Guitar,-1,-1
60,100,0.37727272727272726,678,0,4,DL_Guitar,-1,-1
48,100,1.481818181818182,761,0,4,DL_Guitar,-1,-1
60,100,0.3181818181818182,220,1,5,DL_Guitar,-1,-1
60,100,0.1409090909090909,311,0,5,DL_Guitar,-1,-1
57,100,0.3,360,0,5,DL_Guitar,-1,-1
55,100,0.2,431,0,5,DL_Guitar,-1,-1
50,100,0.2,651,1,5,DL_Guitar,-1,-1
55,100,0.2409090909090909,716,0,5,DL_Guitar,-1,-1
55,100,0.3409090909090909,774,0,5,DL_Guitar,-1,-1
50,100,1.2,40,1,6,DL_Guitar,-1,-1
50,100,0.6818181818181818,307,1,6,DL_Guitar,-1,-1
55,100,0.6227272727272727,465,0,6,DL_Guitar,-1,-1
57,100,0.3409090909090909,606,0,6,DL_Guitar,-1,-1
48,100,0.8227272727272728,739,0,6,DL_Guitar,-1,-1
60,100,0.1,40,1,7,DL_Guitar,-1,-1
55,100,0.2818181818181818,79,0,7,DL_Guitar,-1,-1
50,100,1.8590909090909091,281,1,7,DL_Guitar,-1,-1
59,100,0.4818181818181818,703,1,7,DL_Guitar,-1,-1
55,100,0.2772727272727273,844,0,7,DL_Guitar,-1,-1
48,100,0.9590909090909091,118,1,8,DL_Guitar,-1,-1
