epoch,loss,step,val_loss
0,0.0005934656364843249,49,
0,0.00025778234703466296,99,
0,3.266896555942367e-06,149,
0,0.0003682222159113735,199,
0,6.988754466874525e-05,249,
0,0.00011048062151530758,299,
0,6.0319460317259654e-05,349,
0,0.00026368358521722257,399,
0,0.0001804196072043851,449,
0,7.01277531334199e-05,499,
0,0.00016120454529300332,549,
0,0.00023770623374730349,599,
0,0.0002148786443285644,649,
0,0.00025410210946574807,699,
0,0.0002512833452783525,749,
0,0.00010661935084499419,799,
0,7.345576887018979e-05,849,
0,,864,0.00013365792983677238
1,6.13437732681632e-05,899,
1,3.39811340381857e-05,949,
1,0.00015058908320497721,999,
1,3.616484536905773e-05,1049,
1,0.00011186217307113111,1099,
1,8.140447607729584e-05,1149,
1,0.00045250114635564387,1199,
1,0.0003670638834591955,1249,
1,0.00022032670676708221,1299,
1,0.00019241482368670404,1349,
1,0.00012354525097180158,1399,
1,3.5444845707388595e-05,1449,
1,0.0003518260782584548,1499,
1,0.00010114048200193793,1549,
1,8.628838986624032e-05,1599,
1,0.00014549946354236454,1649,
1,7.482372166123241e-05,1699,
1,,1729,0.00013930060958955437
2,0.0003012758388649672,1749,
2,0.00013660441618412733,1799,
2,6.83858452248387e-05,1849,
2,0.00029851036379113793,1899,
2,0.00011247653310419992,1949,
2,0.0001717459235806018,1999,
2,8.550251550332177e-06,2049,
2,4.187312151771039e-05,2099,
2,0.00010951692092930898,2149,
2,2.2194037228473462e-05,2199,
2,0.00025123145314864814,2249,
2,0.00012077452265657485,2299,
2,7.399089372484013e-05,2349,
2,8.415451884502545e-05,2399,
2,7.392908446490765e-05,2449,
2,2.6419522328069434e-05,2499,
2,9.024002793012187e-05,2549,
2,,2594,0.00013219757238402963
3,0.0001321460003964603,2599,
3,3.91433532058727e-05,2649,
3,0.0002290480915689841,2699,
3,8.744647493585944e-05,2749,
3,0.00010459609620738775,2799,
3,0.0002084699517581612,2849,
3,9.030262299347669e-05,2899,
3,7.726717012701556e-05,2949,
3,5.9318150306353346e-05,2999,
3,0.0004055440367665142,3049,
3,0.0002627374487929046,3099,
3,5.424742994364351e-05,3149,
3,0.0002199579612351954,3199,
3,0.000207162753213197,3249,
3,6.01271640334744e-05,3299,
3,0.00010132585157407448,3349,
3,0.00023721210891380906,3399,
3,0.00021507966448552907,3449,
3,,3459,0.00016363401664420962
4,0.00014607053890358657,3499,
4,4.669735790230334e-05,3549,
4,0.0002539026318117976,3599,
4,0.00020921351097058505,3649,
4,0.00016193588089663535,3699,
4,0.00017945341824088246,3749,
4,0.00023270609381143004,3799,
4,0.00020117382518947124,3849,
4,0.00043312786146998405,3899,
4,0.00022257681121118367,3949,
4,0.0001324327604379505,3999,
4,0.00013212197518441826,4049,
4,0.0001340869494015351,4099,
4,0.00042682746425271034,4149,
4,0.0001064883399521932,4199,
4,0.00011402516247471794,4249,
4,0.00028958110488019884,4299,
4,,4324,0.00016189114830922335
5,0.000161977150128223,4349,
5,6.467203638749197e-05,4399,
5,0.00022616115165874362,4449,
5,0.00010758503776742145,4499,
5,0.00013851464609615505,4549,
5,0.00026248174253851175,4599,
5,0.00012230564607307315,4649,
5,3.353502688696608e-05,4699,
5,0.00033526422339491546,4749,
5,0.00019671523477882147,4799,
5,0.00011742908100131899,4849,
5,9.113192209042609e-05,4899,
5,0.00020036952628288418,4949,
5,6.1050805015838705e-06,4999,
5,9.815498196985573e-05,5049,
5,0.0003283505793660879,5099,
5,8.775725291343406e-05,5149,
5,,5189,0.00014779252524022013
