arch,d_model,seed,pos_weight,w_boundary,duv_mode,dropout,reweight,f1,best_th,ckpt,cmd
lstm,256,42,1.4501342208041108,1.5866460128711628,none,0.3,,0.583167660702452,0.51,checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm256_seed42_pw1.45013_wb1.58665_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 42 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm256_seed42_pw1.45013_wb1.58665_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.5866460128711628 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.4501342208041108 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,512,2024,1.4630054193407755,1.4836346015764517,none,0.3,,0.5764631843926998,0.52,checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm512_seed2024_pw1.46301_wb1.48363_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm512_seed2024_pw1.46301_wb1.48363_none.ckpt --batch-size 8 --grad-accum 2 --d_model 512 --max-len 256 --instrument guitar --w-boundary 1.4836346015764517 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.4630054193407755 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,42,1.4583608647147503,1.35510975370862,none,0.3,,0.5825885468387951,0.52,checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm256_seed42_pw1.45836_wb1.35511_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 42 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm256_seed42_pw1.45836_wb1.35511_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.35510975370862 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.4583608647147503 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,42,1.5692797592012897,1.3301468266340746,none,0.3,,0.580794894110821,0.49,checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm256_seed42_pw1.56928_wb1.33015_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 42 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm256_seed42_pw1.56928_wb1.33015_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.3301468266340746 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.5692797592012897 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,2024,1.5230355894695398,1.1161931034776011,none,0.3,,0.5790139064475348,0.52,checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm256_seed2024_pw1.52304_wb1.11619_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_rs/lstm_dm256_seed2024_pw1.52304_wb1.11619_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.1161931034776011 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.5230355894695398 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
