epoch,loss,loss_boundary,loss_vel_reg,loss_dur_reg,loss_vel_cls,loss_dur_cls,loss_pitch,f1,best_th,time
1,0.9342448993733055,0.8369922167376468,0.0,0.0,0.0,0.0,0.0,0.5702457956015524,0.3,24.432999849319458
2,0.9201963167441519,0.8244060560276634,0.0,0.0,0.0,0.0,0.0,0.5722873459573189,0.48,26.36862301826477
3,0.8909598212493094,0.7982130082030046,0.0,0.0,0.0,0.0,0.0,0.5718766335598536,0.43,25.112303018569946
4,0.8647736718780116,0.7747527768737391,0.0,0.0,0.0,0.0,0.0,0.5771050141911069,0.52,23.316208839416504
5,0.8573044475756193,0.768061079477009,0.0,0.0,0.0,0.0,0.0,0.5783208020050126,0.51,23.05729913711548
6,0.8493492101368151,0.7609339607389349,0.0,0.0,0.0,0.0,0.0,0.5790139064475348,0.52,26.32458209991455
7,0.8468597437206068,0.7587036427698637,0.0,0.0,0.0,0.0,0.0,0.5768261964735516,0.53,23.71964383125305
8,0.844972362643794,0.7570127374247501,0.0,0.0,0.0,0.0,0.0,0.5765998707175177,0.54,23.26833987236023
9,0.8444945906337938,0.7565847039222717,0.0,0.0,0.0,0.0,0.0,0.5775835154542617,0.5,24.481497049331665
10,0.8410655385569522,0.7535126083775571,0.0,0.0,0.0,0.0,0.0,0.578110383536015,0.49,23.80231499671936
11,0.8422849272426806,0.7546050579924333,0.0,0.0,0.0,0.0,0.0,0.5782085561497327,0.52,25.844374179840088
12,0.8420431331584328,0.7543884358908001,0.0,0.0,0.0,0.0,0.0,0.5778197857592943,0.49,25.190308094024658
