epoch,loss,loss_boundary,loss_vel_reg,loss_dur_reg,loss_vel_cls,loss_dur_cls,loss_pitch,f1,best_th,time
1,2.167774488417883,1.79370345901646,0.013238995224799656,0.017421494102530948,0.0,0.0,0.0,0.696707682075158,0.38,469.0605351924896
2,2.053889283147695,1.7050168294262422,0.0003966468581049797,0.015341364713074396,0.0,0.0,0.0,0.696707682075158,0.3,453.15760707855225
3,2.03903900788355,1.6927643194172044,0.0002120483889327532,0.015231437204486086,0.0,0.0,0.0,0.696707682075158,0.37,456.3064429759979
4,2.0187441975625444,1.6760262943243913,3.968828916748302e-05,0.014985430532998943,0.0,0.0,0.0,0.6966145833333334,0.42,457.69462299346924
5,2.022170536282335,1.6788379738838892,4.927531272010141e-05,0.01508049491447887,0.0,0.0,0.0,0.696707682075158,0.42,467.3283669948578
