pitch,velocity,duration,pos,boundary,bar,instrument,song_id,velocity_bucket,duration_bucket
58,100,0.13636363636363635,106,1,89,_Guitar,_Guitar,6,2
60,100,0.33636363636363636,348,1,1,DL_Guitar,ninjyou,6,5
55,100,0.1409090909090909,431,0,1,DL_Guitar,ninjyou,6,2
60,100,0.1,487,0,1,DL_Guitar,ninjyou,6,2
52,100,0.2,590,0,1,DL_Guitar,ninjyou,6,3
55,100,0.38181818181818183,849,1,1,DL_Guitar,ninjyou,6,6
53,100,0.11818181818181818,712,1,3,DL_Guitar,ninjyou,6,2
53,100,0.1409090909090909,74,1,4,DL_Guitar,ninjyou,6,2
55,100,0.3,114,0,4,DL_Guitar,ninjyou,6,5
60,100,0.37727272727272726,678,1,4,DL_Guitar,ninjyou,6,6
60,100,0.3181818181818182,220,1,5,DL_Guitar,ninjyou,6,5
60,100,0.1409090909090909,311,0,5,DL_Guitar,ninjyou,6,2
57,100,0.3,360,0,5,DL_Guitar,ninjyou,6,5
55,100,0.2,431,0,5,DL_Guitar,ninjyou,6,3
55,100,0.2409090909090909,716,1,5,DL_Guitar,ninjyou,6,4
55,100,0.3409090909090909,774,0,5,DL_Guitar,ninjyou,6,5
55,100,0.6227272727272727,465,1,6,DL_Guitar,ninjyou,6,10
57,100,0.3409090909090909,606,1,6,DL_Guitar,ninjyou,6,5
60,100,0.1,40,1,7,DL_Guitar,ninjyou,6,2
55,100,0.2818181818181818,79,0,7,DL_Guitar,ninjyou,6,5
59,100,0.4818181818181818,703,1,7,DL_Guitar,ninjyou,6,8
55,100,0.2772727272727273,844,1,7,DL_Guitar,ninjyou,6,4
55,100,0.3,333,1,8,DL_Guitar,ninjyou,6,5
55,100,0.17727272727272728,470,1,8,DL_Guitar,ninjyou,6,3
54,100,0.1,656,1,8,DL_Guitar,ninjyou,6,2
60,100,0.1409090909090909,65,1,9,DL_Guitar,ninjyou,6,2
60,100,0.2818181818181818,135,0,9,DL_Guitar,ninjyou,6,5
57,100,0.3409090909090909,211,0,9,DL_Guitar,ninjyou,6,5
60,100,0.2,677,1,10,DL_Guitar,ninjyou,6,3
55,100,0.4818181818181818,818,1,10,DL_Guitar,ninjyou,6,8
54,100,0.2818181818181818,355,1,11,DL_Guitar,ninjyou,6,5
55,100,0.3,180,1,12,DL_Guitar,ninjyou,6,5
55,100,0.2,250,0,12,DL_Guitar,ninjyou,6,3
52,100,0.7181818181818181,360,1,12,DL_Guitar,ninjyou,6,11
55,100,0.2818181818181818,527,1,12,DL_Guitar,ninjyou,6,5
57,100,0.6,594,0,12,DL_Guitar,ninjyou,6,10
52,100,0.3,739,1,12,DL_Guitar,ninjyou,6,5
55,100,0.9409090909090909,804,0,12,DL_Guitar,ninjyou,6,15
52,100,0.3,140,1,13,DL_Guitar,ninjyou,6,5
55,100,1.2818181818181817,211,0,13,DL_Guitar,ninjyou,6,15
55,100,0.1409090909090909,505,1,13,DL_Guitar,ninjyou,6,2
60,100,0.1590909090909091,783,1,13,DL_Guitar,ninjyou,6,3
54,100,0.21818181818181817,175,1,14,DL_Guitar,ninjyou,6,3
62,100,0.1,338,1,14,DL_Guitar,ninjyou,6,2
52,100,0.4409090909090909,448,1,14,DL_Guitar,ninjyou,6,7
52,100,0.3409090909090909,584,1,14,DL_Guitar,ninjyou,6,5
59,100,0.6,663,0,14,DL_Guitar,ninjyou,6,10
57,100,0.32272727272727275,409,1,15,DL_Guitar,ninjyou,6,5
59,100,0.3181818181818182,479,0,15,DL_Guitar,ninjyou,6,5
57,100,0.3,656,1,16,DL_Guitar,ninjyou,6,5
59,100,0.33636363636363636,721,0,16,DL_Guitar,ninjyou,6,5
55,100,0.1409090909090909,268,1,17,DL_Guitar,ninjyou,6,2
57,100,0.6,343,0,17,DL_Guitar,ninjyou,6,10
59,100,0.6,480,1,17,DL_Guitar,ninjyou,6,10
62,100,0.4,611,1,17,DL_Guitar,ninjyou,6,6
62,100,0.1409090909090909,804,1,17,DL_Guitar,ninjyou,6,2
62,100,0.18181818181818182,870,0,17,DL_Guitar,ninjyou,6,3
55,100,0.1590909090909091,119,1,18,DL_Guitar,ninjyou,6,3
62,100,0.21818181818181817,237,1,18,DL_Guitar,ninjyou,6,3
67,100,0.11818181818181818,326,0,18,DL_Guitar,ninjyou,6,2
55,100,0.3,356,0,18,DL_Guitar,ninjyou,6,5
79,100,0.12272727272727273,422,0,18,DL_Guitar,ninjyou,6,2
55,100,0.8409090909090909,540,1,19,DL_Guitar,ninjyou,6,13
62,100,0.6636363636363637,223,1,20,DL_Guitar,ninjyou,6,11
57,100,0.2772727272727273,413,1,20,DL_Guitar,ninjyou,6,4
62,100,0.1409090909090909,474,0,20,DL_Guitar,ninjyou,6,2
62,100,0.1409090909090909,686,1,20,DL_Guitar,ninjyou,6,2
55,100,0.3,725,0,20,DL_Guitar,ninjyou,6,5
52,100,0.5409090909090909,814,0,20,DL_Guitar,ninjyou,6,9
55,100,0.6409090909090909,57,1,21,DL_Guitar,ninjyou,6,10
55,100,0.18181818181818182,289,1,21,DL_Guitar,ninjyou,6,3
55,100,0.38181818181818183,333,0,21,DL_Guitar,ninjyou,6,6
55,100,0.1409090909090909,426,0,21,DL_Guitar,ninjyou,6,2
55,100,0.12272727272727273,466,0,21,DL_Guitar,ninjyou,6,2
54,100,0.11818181818181818,756,1,21,DL_Guitar,ninjyou,6,2
62,100,0.1,787,0,21,DL_Guitar,ninjyou,6,2
54,100,0.2590909090909091,810,0,21,DL_Guitar,ninjyou,6,4
55,100,0.3181818181818182,83,1,22,DL_Guitar,ninjyou,6,5
55,100,0.4,440,1,22,DL_Guitar,ninjyou,6,6
55,100,0.2818181818181818,642,1,22,DL_Guitar,ninjyou,6,5
62,100,0.1,21,1,23,DL_Guitar,ninjyou,6,2
62,100,0.1,237,1,23,DL_Guitar,ninjyou,6,2
55,100,0.3409090909090909,330,0,23,DL_Guitar,ninjyou,6,5
64,100,0.5772727272727273,426,0,23,DL_Guitar,ninjyou,6,9
55,100,0.2409090909090909,752,1,23,DL_Guitar,ninjyou,6,4
52,100,0.5,814,0,23,DL_Guitar,ninjyou,6,8
62,100,0.2,220,1,24,DL_Guitar,ninjyou,6,3
