epoch,loss,loss_boundary,loss_vel_reg,loss_dur_reg,loss_vel_cls,loss_dur_cls,loss_pitch,f1,best_th,time
1,1.003527544046703,0.801228215819911,0.07077417267167843,0.018634225732009662,1.2956646367123252,2.6609137936642298,0.0,0.5711224216447898,0.44,29.218038082122803
2,0.9208972077620657,0.7909952558969197,0.006980319118347803,0.01577026710698479,0.2311221318025338,2.344166165903995,0.0,0.5703933747412008,0.39,27.072521924972534
3,0.8848597375970138,0.7706877746080097,0.0020523414009642835,0.016893441739835237,0.04324796413512606,2.2212455900091874,0.0,0.5728228228228228,0.55,26.06973385810852
4,0.8641287966778404,0.7515394719023454,0.0007829963119308415,0.019348101935496454,0.01999995244764968,2.2116554034383675,0.0,0.5718015665796344,0.5,25.924670934677124
5,0.8694735294894168,0.7578314040836535,0.0007073301178599266,0.019594825510131687,0.01657420372296321,2.1959662186472038,0.0,0.5767386091127098,0.5,25.735577821731567
6,0.8557674131895366,0.744589554636102,0.000647914395238714,0.018329890052738943,0.015070612395280287,2.1895088271090857,0.0,0.573393282200476,0.38,26.644129991531372
7,0.8510837178481253,0.7402172841523823,0.0007173008512166378,0.01672701052341022,0.013877810322140393,2.1860064079886987,0.0,0.5731610862114421,0.4,26.3512179851532
8,0.8510654756897374,0.7402437078325372,0.0008238048697086541,0.016107820170490367,0.013343462279360545,2.1861602381656042,0.0,0.5734555128584097,0.57,26.7133367061615
9,0.8471380629037556,0.7363187858932897,0.0007187391441364429,0.015906644200808125,0.012736572835006212,2.187023501647146,0.0,0.5727724065847922,0.37,26.679022789001465
10,0.8486756274574682,0.7381636876808969,0.0007687769156243456,0.0155836183479742,0.012282735325003924,2.181603707765278,0.0,0.5755138516532619,0.54,27.189204931259155
