epoch,loss,loss_boundary,loss_vel_reg,loss_dur_reg,loss_vel_cls,loss_dur_cls,loss_pitch,f1,best_th,time
1,0.3941240185185483,0.5630343242695457,0.0,0.0,0.0,0.0,0.0,0.0,0.6,25.497973918914795
2,0.3756818175315857,0.5366883215151335,0.0,0.0,0.0,0.0,0.0,0.0,0.6,23.886929988861084
3,0.3584223138658624,0.5120318877069574,0.0,0.0,0.0,0.0,0.0,0.4888017917133259,0.61,24.667016744613647
4,0.394223363775956,0.5631762397916693,0.0,0.0,0.0,0.0,0.0,0.4909694065610026,0.63,24.812114238739014
5,0.35362691000888224,0.5051813109924919,0.0,0.0,0.0,0.0,0.0,0.5006026516673363,0.63,24.664106845855713
6,0.3539422609304127,0.5056318138775072,0.0,0.0,0.0,0.0,0.0,0.4945828819068256,0.6,24.6359920501709
7,0.3515069343541798,0.5021527738947618,0.0,0.0,0.0,0.0,0.0,0.5007088176920896,0.6,24.528148889541626
8,0.3498539642283791,0.49979138531182943,0.0,0.0,0.0,0.0,0.0,0.49972870320130225,0.6,24.508790016174316
9,0.3472674896842555,0.4960964227977552,0.0,0.0,0.0,0.0,0.0,0.4893322249930729,0.65,24.219558000564575
10,0.3462881665480764,0.4946973935553902,0.0,0.0,0.0,0.0,0.0,0.4978902953586498,0.6,26.048306226730347
