epoch,loss,loss_boundary,loss_vel_reg,loss_dur_reg,loss_vel_cls,loss_dur_cls,loss_pitch,f1,best_th,time
1,1.7755120365243209,0.8632755122686687,0.09701201814765993,0.019748767788865064,1.5707857985245555,2.744776537543849,0.0,0.5702457956015524,0.3,25.252640962600708
2,1.7004824437593158,0.8520974077676472,0.00444849989818115,0.01614518296953879,0.7444101650463907,2.569139229623895,0.0,0.5703933747412008,0.47,27.241971254348755
3,1.644326228844492,0.8377527876904136,0.021407678576284332,0.015274702375264545,0.28298159963206243,2.4077615361464653,0.0,0.5719518576661434,0.43,26.694489002227783
4,1.5946578540300067,0.8167090227729396,0.014313515055140382,0.01520490906152286,0.1481880773054926,2.313925994069953,0.0,0.5709090909090909,0.43,26.190557956695557
5,1.562906723273428,0.8012700771030626,0.005404333020315359,0.01545751016390951,0.11238488868663185,2.279165117364181,0.0,0.5721757322175732,0.44,27.796958923339844
6,1.543222232868797,0.7912194509255258,0.005703139216884186,0.015923632455891686,0.09842057330043692,2.2604987370340446,0.0,0.5721757322175732,0.44,26.463217973709106
7,1.5295817099119489,0.7841297419447648,0.005841904417856743,0.015524627346741525,0.08968245394920048,2.2519149152856124,0.0,0.5722513089005236,0.45,27.68895983695984
8,1.524112255949723,0.7813871879326669,0.00552451436554915,0.015554975718259811,0.0834591361252885,2.2477680883909525,0.0,0.5765645805592543,0.57,27.289159059524536
9,1.5222165898272866,0.7806570216229087,0.006003205517404958,0.01579038274327391,0.07961616194561909,2.239270235362806,0.0,0.5744416873449132,0.58,28.113025188446045
10,1.5220912820414494,0.7805970248423124,0.0062641316142521405,0.015586622108362223,0.07788140130670447,2.240600636130885,0.0,0.575091575091575,0.56,27.523452758789062
11,1.5141353795402928,0.7763759336973491,0.006231967335272776,0.0155672042287494,0.0746404587438232,2.236735507061607,0.0,0.5772532188841202,0.6,28.692509174346924
12,1.5176215611006085,0.7782562061360008,0.006133127344870253,0.015785577118788894,0.07333441000235708,2.2399551617471793,0.0,0.5803108808290155,0.53,28.593382835388184
