arch,d_model,pos_weight,w_boundary,f1,best_th,ckpt,cmd
lstm,256,1.6,1.2,0.5813722240636394,0.5,checkpoints/guitar_lead/sweeps/gtr_lead/lstm_dm256_pw1.6_wb1.2.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 12 --arch lstm --duv-mode both --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead/lstm_dm256_pw1.6_wb1.2.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.2 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.6 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 4 --save-best --device mps --use-duv-embed --progress
lstm,256,1.6,1.5,0.5808004814926272,0.5,checkpoints/guitar_lead/sweeps/gtr_lead/lstm_dm256_pw1.6_wb1.5.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 12 --arch lstm --duv-mode both --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead/lstm_dm256_pw1.6_wb1.5.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.5 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.6 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 4 --save-best --device mps --use-duv-embed --progress
lstm,256,1.6,1.8,0.579736211031175,0.5,checkpoints/guitar_lead/sweeps/gtr_lead/lstm_dm256_pw1.6_wb1.8.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 12 --arch lstm --duv-mode both --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead/lstm_dm256_pw1.6_wb1.8.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.8 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.6 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 4 --save-best --device mps --use-duv-embed --progress
lstm,256,1.8,1.2,0.5785973397823458,0.5,checkpoints/guitar_lead/sweeps/gtr_lead/lstm_dm256_pw1.8_wb1.2.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 12 --arch lstm --duv-mode both --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead/lstm_dm256_pw1.8_wb1.2.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.2 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.8 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 4 --save-best --device mps --use-duv-embed --progress
